"Brnd_Name","Year","Tot_Spndng"
Aldactone,"2025 (Q1-Q3)",247054.86
Aldurazyme,"2024 (Q1-Q4)",7395199.5
Aldurazyme,"2025 (Q1-Q3)",5726775.0
Alecensa,"2024 (Q1-Q4)",246703792
Alecensa,"2025 (Q1-Q3)",283287904
Alendronate Sodium,"2024 (Q1-Q4)",76612976
Alendronate Sodium,"2025 (Q1-Q3)",62174872
Alfuzosin HCl ER,"2024 (Q1-Q4)",24058162
Alfuzosin HCl ER,"2025 (Q1-Q3)",19981168
Alimta,"2024 (Q1-Q4)",727804.25
Alimta,"2025 (Q1-Q3)",271361.3
Aliskiren,"2024 (Q1-Q4)",9186003.0
Aliskiren,"2025 (Q1-Q3)",6026048.5
Allopurinol,"2024 (Q1-Q4)",96258280
Allopurinol,"2025 (Q1-Q3)",70050824
Almotriptan Malate,"2024 (Q1-Q4)",1518305.6
Almotriptan Malate,"2025 (Q1-Q3)",1092203.2
Alogliptin,"2024 (Q1-Q4)",14703847
Alogliptin,"2025 (Q1-Q3)",9695091.0
Alogliptin-Metformin,"2024 (Q1-Q4)",1466301.1
Alogliptin-Metformin,"2025 (Q1-Q3)",1033783.7
Alogliptin-Pioglitazone,"2024 (Q1-Q4)",410297.47
Alogliptin-Pioglitazone,"2025 (Q1-Q3)",268039.62
Alomide,"2024 (Q1-Q4)",91853.49
Alomide,"2025 (Q1-Q3)",2231.26
Alosetron HCl,"2024 (Q1-Q4)",9033479.0
Alosetron HCl,"2025 (Q1-Q3)",5686045.0
Alphagan P,"2024 (Q1-Q4)",92661672
Alphagan P,"2025 (Q1-Q3)",38983136
Alprazolam,"2024 (Q1-Q4)",60650652
Alprazolam,"2025 (Q1-Q3)",65315532
Alprazolam ER,"2024 (Q1-Q4)",1838864.9
Alprazolam ER,"2025 (Q1-Q3)",1166150.4
Alprazolam Intensol,"2024 (Q1-Q4)",46194.17
Alprazolam Intensol,"2025 (Q1-Q3)",38738.05
Alprazolam ODT,"2024 (Q1-Q4)",563502.06
Alprazolam ODT,"2025 (Q1-Q3)",457055.06
Alprazolam XR,"2024 (Q1-Q4)",481437.16
Alprazolam XR,"2025 (Q1-Q3)",281265.28
Alrex,"2024 (Q1-Q4)",6353195.5
Alrex,"2025 (Q1-Q3)",1202518.2
Altabax,"2024 (Q1-Q4)",20395.97
Altace,"2024 (Q1-Q4)",1238171.5
Altace,"2025 (Q1-Q3)",406973.44
Altavera,"2024 (Q1-Q4)",65064.34
Altavera,"2025 (Q1-Q3)",66152.84
Altoprev,"2024 (Q1-Q4)",1026245.94
Altoprev,"2025 (Q1-Q3)",433025.56
Altreno,"2024 (Q1-Q4)",92120.31
Altreno,"2025 (Q1-Q3)",62705.51
Alunbrig,"2024 (Q1-Q4)",41887108
Alunbrig,"2025 (Q1-Q3)",44495800
Alvaiz,"2024 (Q1-Q4)",8189307.0
Alvaiz,"2025 (Q1-Q3)",24291250
Alvesco,"2024 (Q1-Q4)",34900988
Alvesco,"2025 (Q1-Q3)",25856436
Alyacen,"2024 (Q1-Q4)",100725.67
Alyacen,"2025 (Q1-Q3)",88069.08
Alyftrek,"2025 (Q1-Q3)",60898940
Alyglo,"2024 (Q1-Q4)",1090393.5
Alyglo,"2025 (Q1-Q3)",12579066
Alymsys,"2024 (Q1-Q4)",3143277.0
Alymsys,"2025 (Q1-Q3)",2817715.5
Alyq,"2024 (Q1-Q4)",683926.44
Alyq,"2025 (Q1-Q3)",108394.19
Amantadine,"2024 (Q1-Q4)",23299338
Amantadine,"2025 (Q1-Q3)",16840828
Ambien,"2024 (Q1-Q4)",10369529
Ambien,"2025 (Q1-Q3)",6630773.5
Ambien Cr,"2024 (Q1-Q4)",5651298.0
Ambien Cr,"2025 (Q1-Q3)",3632058.5
Ambisome,"2024 (Q1-Q4)",938712.5
Ambisome,"2025 (Q1-Q3)",305453.1
Ambrisentan,"2024 (Q1-Q4)",184861168
Ambrisentan,"2025 (Q1-Q3)",94717880
Amcinonide,"2024 (Q1-Q4)",4475674.0
Amcinonide,"2025 (Q1-Q3)",7740328.0
Amethyst,"2024 (Q1-Q4)",34496.19
Amethyst,"2025 (Q1-Q3)",22762.9
Amikacin Sulfate,"2024 (Q1-Q4)",1049937.2
Amikacin Sulfate,"2025 (Q1-Q3)",654972.3
Amiloride-Hydrochlorothiazide,"2024 (Q1-Q4)",1230796.8
Amiloride-Hydrochlorothiazide,"2025 (Q1-Q3)",868748.7
Amiloride HCl,"2024 (Q1-Q4)",2024003.8
Amiloride HCl,"2025 (Q1-Q3)",1534134.0
Aminocaproic Acid,"2024 (Q1-Q4)",2139781.0
Aminocaproic Acid,"2025 (Q1-Q3)",1323743.2
Amiodarone HCl,"2024 (Q1-Q4)",74120168
Amiodarone HCl,"2025 (Q1-Q3)",55697896
Amitiza,"2024 (Q1-Q4)",2909987.2
Amitiza,"2025 (Q1-Q3)",1594271.8
Amitriptyline HCl,"2024 (Q1-Q4)",54717092
